h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.03361170732829423,0.022330349441013503,1.5052029264961069,0.1322719130158907,-0.00312171750217298,0.07034513215876144,269
1,0.10454409234679715,0.04158364376142141,2.5140676210723587,0.011934754777771651,0.036138998359258934,0.17294918633433537,268
2,0.13565524357884529,0.06089123369476876,2.2278287915605097,0.025891934121267994,0.03548916415095067,0.2358213230067399,267
3,0.1521524176317071,0.07194135884169185,2.1149505664262054,0.03443416074996571,0.033808882337123994,0.2704959529262902,266
4,0.1567374968297176,0.0770138676894558,2.035185370272957,0.041832224534145326,0.030049684480562805,0.28342530917887243,265
5,0.15814189971633907,0.0855916681021041,1.847631939217358,0.0646556059898227,0.01734360568837784,0.2989401937443003,264
6,0.12069160163536294,0.09466687581060791,1.2749084682674066,0.20234164140122712,-0.03503540907308708,0.27641861234381293,263
7,0.12818840449337662,0.10545275279484327,1.215600362209275,0.2241371961160067,-0.04528137385414055,0.3016581828408938,262
8,0.12947048439751246,0.11099782617970606,1.1664236035388573,0.24344321993678153,-0.05312093966810402,0.312061908463129,261
9,0.1460038761812089,0.1174795724138462,1.242802243669052,0.2139407155374491,-0.04725002043956808,0.3392577728019859,260
10,0.15810784506295947,0.13080262554430086,1.2087513106486594,0.2267584023852789,-0.057062473957415455,0.37327816408333436,259
11,0.14744329253925076,0.13966261444072195,1.0557105287602304,0.29110048540986255,-0.08230170821573685,0.37718829329423836,258
12,0.13244736876347044,0.15297247796458258,0.865824823692375,0.3865862339347119,-0.11919235748826792,0.38408709501520877,257
13,0.10734606390212154,0.1675444717562558,0.6407019150013431,0.5217163697468172,-0.16826459213691924,0.3829567199411623,256
14,0.09392506672333659,0.17250589471832084,0.5444745344888284,0.5861149676594364,-0.1898471300883012,0.37769726353497435,255
15,0.11009771222290937,0.18092141299380013,0.6085388700047475,0.5428301340951647,-0.18751801215189184,0.4077134365977106,254
16,0.08006663459349983,0.18561786717415188,0.43135198034777045,0.6662124600252703,-0.22527475690798,0.38540802609497965,253
17,0.05644770996190247,0.18540218386934104,0.3044608687116815,0.7607768007453253,-0.24853888250316358,0.3614343024269685,252
18,0.038108373665707164,0.18369688668944,0.2074524743042249,0.8356565052512304,-0.2640730049384216,0.340289752269836,251
19,0.005857645231675406,0.18777756441184262,0.031194595850802188,0.9751143497049743,-0.3030364482258057,0.31475173868915657,250
20,-0.025983344834389265,0.18785899585914007,-0.1383130188445808,0.8899930368518462,-0.33501139302267463,0.28304470335389614,249
21,-0.06472757894030265,0.186927731182498,-0.34627060699254386,0.7291393560452251,-0.3722236967355119,0.2427685388549066,248
22,-0.07155253863647262,0.18859451333615446,-0.379398834943496,0.7043917155856094,-0.38179051307444667,0.23868543580150145,247
23,-0.10439215898647483,0.18865348376755794,-0.5533539953871065,0.5800210341944165,-0.4147271397841077,0.205942821811158,246
24,-0.1717791391410127,0.1894705168020039,-0.9066272792221354,0.3646039310350607,-0.4834581392803091,0.13989986099828375,245
